"","ozempic_opinion","income_score","genetics","OZread","OZUSE_a_W142","partylean","gender","genetics_collapsed","opinion_collapsed"
"1433","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Not too much"
"1434","Quite a bit","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","A lot"
"1435","Some","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"1436","Quite a bit","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","A lot"
"1437","Some","Lower Income","A great deal","A lot","Yes","Republican","Female","A great deal","Some"
"1438","Nothing at all","Middle Income","Not too much","A lot","Yes","Republican","Male","Low","Nothing at all"
"1439","Quite a bit","Lower Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1440","Nothing at all","Upper Income","Some","A lot","Yes","Democrat","Female","Some","Nothing at all"
"1441","Some","Lower Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Some"
"1442","Not too much","Middle Income","A great deal","A little","No","Republican","Male","A great deal","Not too much"
"1443","Quite a bit","Middle Income","Some","A lot","No","Democrat","Female","Some","A lot"
"1444","Quite a bit","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"1445","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"1446","Some","Lower Income","A great deal","A little","Yes","Republican","Female","A great deal","Some"
"1447","Some","Lower Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Some"
"1448","Some","Middle Income","Some","A little","Not sure","Democrat","Male","Some","Some"
"1449","Some","Lower Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1450","Not too much","Middle Income","Some","A lot","Not sure","Democrat","Male","Some","Not too much"
"1451","Not too much","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"1452","Not too much","Middle Income","Not too much","A little","No","Democrat","Male","Low","Not too much"
"1453","Some","Middle Income","Not too much","A lot","Yes","Democrat","Male","Low","Some"
"1454","Not too much","Lower Income","Quite a bit","A lot","Not sure","Democrat","Male","Quite a bit","Not too much"
"1455","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
"1456","Some","Lower Income","Some","A little","Not sure","Democrat","Male","Some","Some"
"1457","Not too much","Middle Income","Not too much","A lot","Yes","Republican","Female","Low","Not too much"
"1458","Not too much","Middle Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","Not too much"
"1459","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1460","Quite a bit","Middle Income","Some","A little","No","Republican","Male","Some","A lot"
"1461","A great deal","Middle Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"1462","Some","Lower Income","Not too much","A lot","Yes","Republican","Male","Low","Some"
"1463","Not too much","Lower Income","Quite a bit","A lot","Not sure","Democrat","Female","Quite a bit","Not too much"
"1464","Quite a bit","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
"1465","Quite a bit","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
"1466","Quite a bit","Upper Income","A great deal","A little","Yes","Democrat","Female","A great deal","A lot"
"1467","Not too much","Upper Income","A great deal","A lot","Yes","Democrat","Female","A great deal","Not too much"
"1468","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1469","A great deal","Upper Income","Some","A lot","Yes","Democrat","Male","Some","A lot"
"1470","Some","Upper Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Some"
"1471","Not too much","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Not too much"
"1472","Not too much","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"1473","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"1474","Some","Upper Income","Some","A little","Yes","Republican","Male","Some","Some"
"1475","Some","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"1476","Not too much","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Not too much"
"1477","Quite a bit","Upper Income","A great deal","A little","Yes","Republican","Female","A great deal","A lot"
"1478","Not too much","Middle Income","Some","A little","No","Democrat","Male","Some","Not too much"
"1479","Not too much","Middle Income","Some","A little","No","Democrat","Male","Some","Not too much"
"1480","A great deal","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1481","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1482","Not too much","Lower Income","Some","A little","No","Democrat","Female","Some","Not too much"
"1483","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1484","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1485","Nothing at all","Middle Income","A great deal","A lot","Not sure","Republican","Female","A great deal","Nothing at all"
"1486","Some","Upper Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"1487","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1488","Quite a bit","Middle Income","Not too much","A lot","Yes","Democrat","Female","Low","A lot"
"1489","Nothing at all","Lower Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Nothing at all"
"1490","Not too much","Upper Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"1491","Some","Middle Income","Some","A lot","Yes","Republican","Female","Some","Some"
"1492","Not too much","Middle Income","Some","A lot","Not sure","Democrat","Male","Some","Not too much"
"1493","Some","Middle Income","Some","A little","Not sure","Republican","Female","Some","Some"
"1494","Not too much","Middle Income","Not too much","A lot","Yes","Republican","Male","Low","Not too much"
"1495","Some","Upper Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Some"
"1496","Quite a bit","Lower Income","Some","A little","No","Democrat","Female","Some","A lot"
"1497","Quite a bit","Upper Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","A lot"
"1498","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"1499","Some","Middle Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Some"
"1500","Quite a bit","Middle Income","Some","A lot","Yes","Republican","Female","Some","A lot"
"1501","Some","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"1502","Some","Middle Income","Quite a bit","A lot","No","Democrat","Female","Quite a bit","Some"
"1503","Some","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Some"
"1504","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"1505","Some","Upper Income","Some","A little","Yes","Republican","Male","Some","Some"
"1506","Nothing at all","Upper Income","Some","A lot","Not sure","Republican","Female","Some","Nothing at all"
"1507","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1508","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Not too much"
"1509","Quite a bit","Middle Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"1510","Not too much","Middle Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"1511","Not too much","Lower Income","Some","A little","No","Republican","Male","Some","Not too much"
"1512","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"1513","Not too much","Middle Income","Some","A little","No","Republican","Male","Some","Not too much"
"1514","Not too much","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Not too much"
"1515","Not too much","Middle Income","A great deal","A little","No","Republican","Male","A great deal","Not too much"
"1516","Some","Middle Income","Some","A little","Not sure","Democrat","Female","Some","Some"
"1517","Quite a bit","Lower Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1518","Quite a bit","Upper Income","Some","A lot","Yes","Democrat","Male","Some","A lot"
"1519","A great deal","Upper Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"1520","Not too much","Middle Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"1521","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1522","Not too much","Lower Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"1523","Not too much","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"1524","Not too much","Middle Income","Some","A little","No","Republican","Female","Some","Not too much"
"1525","Some","Lower Income","A great deal","A little","Yes","Republican","Female","A great deal","Some"
"1526","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1527","Not too much","Middle Income","Some","A little","No","Democrat","Female","Some","Not too much"
"1528","Not too much","Middle Income","A great deal","A little","No","Democrat","Male","A great deal","Not too much"
"1529","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1530","Not too much","Lower Income","Some","A lot","Not sure","Republican","Female","Some","Not too much"
"1531","Quite a bit","Middle Income","Some","A lot","Yes","Republican","Female","Some","A lot"
"1532","Quite a bit","Upper Income","Not at all","A little","Yes","Democrat","Male","Low","A lot"
"1533","Quite a bit","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"1534","Some","Upper Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"1535","Some","Middle Income","Some","A little","Yes","Republican","Female","Some","Some"
"1536","Some","Middle Income","A great deal","A little","Not sure","Democrat","Male","A great deal","Some"
"1537","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1538","Not too much","Middle Income","Some","A little","No","Republican","Female","Some","Not too much"
"1539","Not too much","Lower Income","Some","A little","Not sure","Democrat","Male","Some","Not too much"
"1540","Nothing at all","Lower Income","A great deal","A lot","Not sure","Democrat","Female","A great deal","Nothing at all"
"1541","Not too much","Upper Income","Some","A little","No","Republican","Male","Some","Not too much"
"1542","A great deal","Lower Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1543","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1544","Not too much","Upper Income","A great deal","A lot","Not sure","Republican","Female","A great deal","Not too much"
"1545","Some","Lower Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1546","Not too much","Lower Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"1547","Quite a bit","Middle Income","A great deal","A little","Yes","Republican","Female","A great deal","A lot"
"1548","Some","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"1549","Some","Upper Income","Some","A little","Yes","Republican","Male","Some","Some"
"1550","Not too much","Middle Income","Not too much","A lot","Yes","Republican","Female","Low","Not too much"
"1551","Not too much","Lower Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Not too much"
"1552","A great deal","Upper Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","A lot"
"1553","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
